Plate,State,License Type,Summons Number,Issue Date,Violation Time,Violation,Judgment Entry Date,Fine Amount,Penalty Amount,Interest Amount,Reduction Amount,Payment Amount,Amount Due,Precinct,County,Issuing Agency,Violation Status,Summons Image
37277MC,NY,COM,8553157337,06/02/2017,01:30P,NO STANDING-EXC. AUTH. VEHICLE,,95.00,0.00,0.00,0.00,95.00,0.00,111,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1VMTZSVEZPZWsxNlRuYzlQUT09&locationName=_____________________)
75669MD,NY,COM,4632554510,04/05/2017,10:53A,PHTO SCHOOL ZN SPEED VIOLATION,,50.00,0.00,0.00,0.00,50.00,0.00,000,BX,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWmVrMXFWVEZPUkZWNFRVRTlQUT09&locationName=_____________________)
68463MJ,NY,COM,8478068764,05/31/2017,08:51A,NO STANDING-DAY/TIME LIMITS,,115.00,0.00,0.00,0.00,115.00,0.00,017,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk0wOUVRVEpQUkdNeVRrRTlQUT09&locationName=_____________________)
75669MD,NY,COM,4627222427,11/22/2016,11:09A,PHTO SCHOOL ZN SPEED VIOLATION,,50.00,0.00,0.00,0.00,50.00,0.00,000,BX,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWmVVNTZTWGxOYWxGNVRuYzlQUT09&locationName=_____________________)
68471MJ,NY,COM,5096738401,05/23/2017,05:34A,FAILURE TO STOP AT RED LIGHT,,50.00,0.00,0.00,0.00,50.00,0.00,000,BX,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSQk5VNXFZM3BQUkZGM1RWRTlQUT09&locationName=_____________________)
35060JN,99,COM,1419640951,02/04/2017,09:35A,FRONT OR BACK PLATE MISSING,,65.00,0.00,0.00,65.00,0.00,0.00,041,BX,DEPARTMENT OF SANITATION,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUmVFOVVXVEJOUkdzeFRWRTlQUT09&locationName=_____________________)
68471MJ,NY,PAS,5097862089,07/28/2017,01:33P,FAILURE TO STOP AT RED LIGHT,,50.00,0.00,0.00,0.00,50.00,0.00,000,BX,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSQk5VNTZaekpOYWtFMFQxRTlQUT09&locationName=_____________________)
37277MC,NY,COM,8585440685,12/04/2017,03:12P,NO STANDING-BUS LANE,,115.00,0.00,0.00,0.00,115.00,0.00,019,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FNVVVVEJOUkZrMFRsRTlQUT09&locationName=_____________________)
37277MC,NY,COM,8524955466,04/12/2017,10:40A,FAIL TO DSPLY MUNI METER RECPT,,35.00,0.00,0.00,0.00,35.00,0.00,045,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVVNUVhekZPVkZFeVRtYzlQUT09&locationName=_____________________)
37277MC,NY,COM,8524955478,04/12/2017,10:41A,REG. STICKER-EXPIRED/MISSING,,65.00,0.00,0.00,0.00,65.00,0.00,045,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVVNUVhekZPVkZFelQwRTlQUT09&locationName=_____________________)
37277MC,NY,COM,8524955480,04/12/2017,10:42A,INSP. STICKER-EXPIRED/MISSING,,65.00,0.00,0.00,0.00,65.00,0.00,045,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVVNUVhekZPVkZFMFRVRTlQUT09&locationName=_____________________)
68470MJ,NY,COM,8572987629,01/03/2018,02:38P,NO PARKING-DAY/TIME LIMITS,,60.00,0.00,0.00,0.00,60.00,0.00,041,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk0wMXFhelJPZWxsNVQxRTlQUT09&locationName=_____________________)
85051JV,NY,COM,5094592567,12/05/2016,05:19A,FAILURE TO STOP AT RED LIGHT,,50.00,0.00,0.00,0.00,50.00,0.00,000,BX,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSQk5VNUVWVFZOYWxVeVRuYzlQUT09&locationName=_____________________)
42997MH,NY,COM,5094604703,12/06/2016,03:12A,FAILURE TO STOP AT RED LIGHT,,50.00,0.00,0.00,0.00,50.00,0.00,000,QN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSQk5VNUVXWGRPUkdOM1RYYzlQUT09&locationName=_____________________)
54173MB,NY,COM,5100782948,02/28/2018,03:24A,FAILURE TO STOP AT RED LIGHT,,50.00,0.00,0.00,0.00,50.00,0.00,000,BX,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmQwMUVZelJOYW1zd1QwRTlQUT09&locationName=_____________________)
66856JU,NY,COM,8488309715,02/28/2018,08:30A,FAIL TO DISP. MUNI METER RECPT,,65.00,0.00,0.00,0.00,65.00,0.00,017,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5FOUVUWGRQVkdONFRsRTlQUT09&locationName=_____________________)
66856JU,NY,COM,1399327987,06/01/2016,11:11P,INSP. STICKER-EXPIRED/MISSING,09/15/2016,65.00,60.00,0.55,0.06,125.49,0.00,041,BX,OTHER/UNKNOWN AGENCIES,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSTk5VOVVUWGxPZW1zMFRuYzlQUT09&locationName=_____________________)
98721JZ,NY,COM,1408192652,08/23/2016,06:20A,DOUBLE PARKING,,115.00,10.00,0.00,0.00,125.00,0.00,048,BX,POLICE DEPARTMENT,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUmQwOUVSVFZOYWxreFRXYzlQUT09&locationName=_____________________)
66856JU,NY,COM,1425897071,08/02/2017,04:36P,WRONG WAY,,45.00,10.00,0.00,0.00,55.00,0.00,041,BX,POLICE DEPARTMENT,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUmVVNVVaelZPZWtFelRWRTlQUT09&locationName=_____________________)
46422JZ,NY,COM,5096177944,04/14/2017,01:07A,FAILURE TO STOP AT RED LIGHT,,50.00,0.00,0.00,0.00,50.00,0.00,000,BX,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSQk5VNXFSVE5PZW1zd1RrRTlQUT09&locationName=_____________________)
95539JW,NY,COM,5095053792,01/17/2017,10:38A,FAILURE TO STOP AT RED LIGHT,,50.00,0.00,0.00,0.00,50.00,0.00,000,BX,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSQk5VNVVRVEZOZW1NMVRXYzlQUT09&locationName=_____________________)
78268MB,NY,COM,4007027470,03/01/2017,06:59P,BUS LANE VIOLATION,,115.00,25.00,0.00,0.00,140.00,0.00,000,BX,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSQmQwNTZRWGxPZWxFelRVRTlQUT09&locationName=_____________________)
66856JU,NY,COM,1426441952,04/05/2018,07:20A,DOUBLE PARKING,,115.00,0.00,0.00,0.00,115.00,0.00,006,NY,POLICE DEPARTMENT,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUmVVNXFVVEJOVkdzeFRXYzlQUT09&locationName=_____________________)
75669MD,NY,COM,1426742149,09/19/2017,04:06A,NO PARKING-STREET CLEANING,,45.00,0.00,0.00,0.00,45.00,0.00,041,BX,DEPARTMENT OF SANITATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUmVVNXFZekJOYWtVd1QxRTlQUT09&locationName=_____________________)
85051JV,NY,COM,5091132326,04/09/2016,04:53A,FAILURE TO STOP AT RED LIGHT,07/14/2016,50.00,25.00,1.16,0.00,76.16,0.00,000,,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSQk5VMVVSWHBOYWsxNVRtYzlQUT09&locationName=_____________________)
78265MB,NY,COM,5092738248,07/27/2016,02:27A,FAILURE TO STOP AT RED LIGHT,,50.00,25.00,0.00,0.00,75.00,0.00,000,BX,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSQk5VMXFZM3BQUkVrd1QwRTlQUT09&locationName=_____________________)
78265MB,NY,COM,5092781452,07/29/2016,11:52P,FAILURE TO STOP AT RED LIGHT,,50.00,0.00,0.00,0.00,50.00,0.00,000,BX,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSQk5VMXFZelJOVkZFeFRXYzlQUT09&locationName=_____________________)
46422JZ,NY,COM,5092881460,08/06/2016,05:30A,FAILURE TO STOP AT RED LIGHT,,50.00,0.00,0.00,0.00,50.00,0.00,000,BX,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSQk5VMXFaelJOVkZFeVRVRTlQUT09&locationName=_____________________)
35185ME,NY,COM,5091894950,06/04/2016,03:09A,FAILURE TO STOP AT RED LIGHT,09/29/2016,50.00,25.00,0.08,0.04,75.04,0.00,000,BX,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSQk5VMVVaelZPUkdzeFRVRTlQUT09&locationName=_____________________)
46422JZ,NY,COM,5092294498,06/28/2016,02:40A,FAILURE TO STOP AT RED LIGHT,,50.00,25.00,0.00,0.00,75.00,0.00,000,BX,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSQk5VMXFTVFZPUkZFMVQwRTlQUT09&locationName=_____________________)
54173MB,NY,COM,5092413463,07/06/2016,04:08A,FAILURE TO STOP AT RED LIGHT,,50.00,25.00,0.00,0.00,75.00,0.00,000,BX,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSQk5VMXFVWGhOZWxFeVRYYzlQUT09&locationName=_____________________)
35060JN,NY,COM,7011089056,07/22/2016,01:08P,NO STANDING-DAY/TIME LIMITS,,115.00,30.00,0.00,0.00,145.00,0.00,023,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wQmVFMVVRVFJQVkVFeFRtYzlQUT09&locationName=_____________________)
75669MD,NY,COM,4007239307,05/10/2017,05:00P,BUS LANE VIOLATION,,115.00,0.00,0.00,0.00,115.00,0.00,000,MN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSQmQwNTZTWHBQVkUxM1RuYzlQUT09&locationName=_____________________)
